ID DeltaY
1 1.38638
2 -3.8305
3 3.07288
4 -4.23115
5 -2.90823
6 2.06144
7 -6.14942
8 -4.20327
9 13.9879
10 -3.06973
11 -1.99039
12 -4.86424
13 5.29633
14 -0.662125
15 3.04338
16 -4.29256
17 -2.30441
18 0.160267
19 -9.17392
20 7.05093
21 2.09011
22 -6.41303
23 0.530808
24 4.12012
25 0.363813
26 -4.18461
27 -4.88908
28 1.10303
29 6.93376
30 -0.585477
31 3.24728
32 -0.673857
33 -0.00853288
34 0.436468
35 2.1838
36 1.45213
37 3.2373
38 -2.325
39 -3.20755
40 -1.26772
41 0.887659
42 2.37744
43 -1.16329
44 -3.6847
45 3.10103
46 2.02808
47 -0.509373
48 6.99985
49 -1.29247
50 -0.304723
51 3.23443
52 -5.04529
53 -1.669
54 4.07673
55 -2.16088
56 4.10968
57 -5.66633
58 5.72757
59 -0.284415
60 4.61204
61 -11.215
62 2.20483
63 3.65855
64 -6.00011
65 -4.83289
66 4.86074
67 -5.8572
68 4.79375
69 -4.77623
70 -2.30597
71 -5.44358
72 5.76698
73 -4.52093
74 0.669192
75 5.2536
76 -3.06509
77 -4.24188
78 2.02627
79 -4.03842
80 3.1809
81 -5.90454
82 1.81077
83 -5.46129
84 -1.16729
85 2.94024
86 -3.34849
87 -8.60917
88 -1.84303
89 1.29457
90 -1.06823
91 5.69821
92 -5.7119
93 7.594
94 4.47444
95 3.8241
96 -10.6418
97 14.1286
98 -5.54334
99 5.50645
100 -5.75486
101 -3.05549
102 7.65411
103 0.353753
104 -5.75768
105 4.14771
106 -0.914708
107 3.08513
108 0.902261
109 -0.553475
110 5.95105
111 -2.47195
112 -5.24212
113 13.0663
114 -2.03506
115 5.80118
116 -2.23628
117 6.53639
118 2.23348
119 -6.16759
120 0.972052
