   0  -        0       0.107   0.0   0
   1  -     2021           0   2.0   1
      0      2021        0   2      0 2.045e-05    0.9121   0.07766 0.0001553 0.0002684  0.009234 1.645e-05 2.844e-05         0         0 0.0005277
   2  -     2466           0   3.0   1
      1       445        0   2      0 1.672e-05    0.9121   0.07763 0.0001054 0.0003465  0.009223 1.116e-05 3.671e-05         0         0 0.0005272
   3  -     3380           0   0.0   1
      2       914        0   2      0 1.672e-05    0.9121   0.07763 0.0001054 0.0003465  0.009223 1.116e-05 3.671e-05         0         0 0.0005272
   3  -     3680           0   3.0   1
      1      1659       25   2      0 1.672e-05    0.9121   0.07763 0.0001054 0.0003465  0.009223 1.116e-05 3.671e-05         0         0 0.0005272
      2      1214       75   2      0 1.672e-05    0.9121   0.07763 0.0001054 0.0003465  0.009223 1.116e-05 3.671e-05         0         0 0.0005272


  
